PM25h,HUM,TEMP,CO,CO2,PM10p,NO,NO2,PM10h,PM25p
111,24.7,19.3,2.5,527,212,0.042,0.071,130,85
110,25.5,19.5,2.5,522,215,0.038,0.072,129,84
115,26.2,19.5,2.5,533,221,0.038,0.071,137,81
126,26.7,19.4,2.6,542,212,0.045,0.068,134,81
115,23.5,19.5,2.4,506,210,0.029,0.068,133,92
114,23.9,19.6,2.4,497,214,0.027,0.071,136,95
106,23.9,19.7,2.4,508,212,0.039,0.072,141,85
108,24.9,19.7,2.6,528,209,0.04,0.069,130,93
119,23.1,19.7,2.5,518,211,0.028,0.072,135,91
126,23.6,19.9,2.4,509,213,0.018,0.069,126,82
132,23.6,19.9,2.5,530,208,0.026,0.069,114,73
126,21.8,19.8,2.5,508,220,0.022,0.075,106,77
114,23,19.9,2.4,521,203,0.024,0.07,97,78
116,21.2,19.9,2.4,503,196,0.019,0.07,85,85
110,22,20.1,2.5,503,202,0.027,0.07,74,85
110,20.8,20.1,2.5,506,205,0.02,0.068,75,88
114,20.4,20.1,2.4,478,201,0.005,0.063,64,79
113,22.8,19.9,2.4,507,205,0.017,0.064,63,88
112,22,20,2.5,533,210,0.028,0.067,52,86
109,21.9,20,2.6,525,211,0.02,0.068,54,82
104,21.2,20.2,2.6,510,202,0.044,0.073,47,80
93,20,20.1,2.5,500,187,0.03,0.067,43,75
94,20,20.3,2.3,465,175,0.008,0.056,33,76
93,20.2,20.2,2.5,487,166,0.021,0.07,28,70
97,20.5,20.4,2.4,488,163,0.018,0.074,38,72
94,21.7,20.4,2.6,526,161,0.022,0.071,49,67
97,21.8,20.3,2.7,526,147,0.031,0.072,58,65
92,22.1,20.3,2.6,518,157,0.02,0.071,57,60
99,20,20.4,2.6,504,168,0.019,0.062,65,64
102,20.3,20.6,2.4,483,171,0.018,0.069,66,51
105,20.9,20.6,2.6,498,160,0.018,0.075,78,60
105,21.9,20.6,2.6,516,161,0.023,0.078,71,68
104,22.8,20.5,2.6,530,164,0.034,0.078,83,67
113,23.7,20.6,2.4,482,179,0.006,0.067,90,83
108,24.1,20.7,2.4,473,192,0.002,0.069,102,86
114,24.4,20.4,2.5,498,192,0.004,0.076,116,90
120,25.2,20.6,2.6,496,198,0.007,0.079,117,93
125,27,20.6,2.6,502,201,0.006,0.064,119,89
121,26.9,20.6,2.6,496,214,0.002,0.063,118,93
121,27.2,20.6,2.7,531,209,0.011,0.078,131,95
127,26.9,20.6,2.7,495,209,0.005,0.074,132,96
119,26.6,20.6,2.6,482,204,0.001,0.067,132,106
125,28,20.5,2.6,501,206,0.002,0.081,134,100
128,29.5,20.4,2.8,545,209,0.009,0.075,140,89
127,29.4,20.4,2.8,514,213,0.009,0.087,140,104
133,30.3,20.4,2.9,548,219,0.014,0.082,144,112
137,29.8,20.4,2.7,503,217,0.006,0.079,141,121
125,30.1,20.4,2.9,537,212,0.014,0.084,131,123
122,30.1,20.4,2.7,521,214,0.007,0.082,135,119
124,29.9,20.3,2.6,493,217,0.002,0.078,131,118
131,30.7,20.5,2.7,548,203,0.013,0.083,135,118
131,31.1,20.4,2.9,567,218,0.024,0.08,129,121
124,31.7,20.3,3.1,575,216,0.04,0.081,130,125
131,31,20.2,3,558,223,0.023,0.083,129,115
126,30.8,20.2,2.8,534,229,0.016,0.082,133,115
130,30.3,20.2,2.7,503,233,0.014,0.084,138,118
131,30.9,20.1,2.8,543,227,0.019,0.081,144,114
124,30.6,20,2.7,511,222,0.006,0.069,139,122
123,31.4,20,2.9,551,223,0.021,0.072,147,117
128,30.5,20.2,2.9,550,230,0.015,0.078,153,116
131,31.8,20.2,3,564,239,0.048,0.085,152,123
129,30.8,20.2,2.9,574,229,0.051,0.084,157,125
130,31.9,20.2,3.1,610,245,0.073,0.084,157,124
122,31.9,20,3,583,242,0.062,0.083,160,133
121,31.4,20,2.9,569,243,0.035,0.082,165,127
122,32.1,20.1,3,599,239,0.049,0.081,167,136
125,32.2,20,3.2,633,239,0.061,0.082,155,132
121,31.6,19.9,3.1,565,237,0.044,0.058,158,136
125,31.8,20,3.1,607,252,0.056,0.084,160,135
126,31.9,20.1,3.1,628,259,0.072,0.082,168,122
130,30.7,19.9,2.8,571,261,0.039,0.081,177,122
133,32,19.9,2.9,582,261,0.049,0.079,170,125
137,32.4,19.8,3.1,611,257,0.061,0.078,171,117
142,30.7,19.8,3,590,272,0.058,0.081,178,121
142,29.8,19.7,2.9,542,269,0.057,0.083,178,117
157,32.1,19.8,2.9,615,263,0.074,0.078,171,110
154,31,19.7,2.9,601,255,0.062,0.078,171,116
150,30.6,19.6,3,570,260,0.057,0.079,167,105
147,31,19.6,2.9,588,257,0.073,0.077,180,118
144,30.1,19.6,3,584,257,0.047,0.064,175,110
139,28.8,19.3,2.7,520,253,0.044,0.082,166,105
131,30.8,19.2,2.8,538,241,0.052,0.079,158,107
107,29.6,19.2,2.8,563,234,0.058,0.079,149,110
100,29.5,19.2,2.8,533,236,0.059,0.078,155,109
88,29.3,19.3,2.8,552,241,0.069,0.077,154,114
86,28.5,19.2,2.7,532,238,0.045,0.074,148,107
82,28.1,18.9,2.6,491,237,0.032,0.076,155,111
77,29,18.9,2.7,525,229,0.061,0.075,148,109
81,28.5,18.7,2.6,493,238,0.037,0.077,144,105
75,28.6,18.8,2.6,533,235,0.049,0.075,153,109
80,29.1,18.5,2.5,484,228,0.022,0.075,136,110
82,28.8,18.7,2.5,529,224,0.039,0.072,140,105
80,27.4,18.4,2.5,493,218,0.035,0.074,140,104
84,28.4,18.6,2.6,513,212,0.062,0.075,139,97
101,28.5,18.6,2.6,518,217,0.066,0.076,126,94
113,27.9,18.5,2.6,504,215,0.062,0.08,124,93
107,27.7,18.5,2.7,523,193,0.066,0.077,118,90
101,28.5,18.5,2.7,513,202,0.065,0.077,115,93
103,27.7,18.7,2.8,550,201,0.082,0.078,107,86
105,28.1,18.3,2.8,504,199,0.081,0.08,111,84
105,28.5,18.5,2.9,542,196,0.086,0.075,117,88
107,28.6,18.4,2.7,519,181,0.083,0.08,108,88
98,29.5,18.5,3,551,191,0.085,0.073,118,80
104,27.9,18.4,2.8,538,192,0.07,0.073,114,93
108,29,18.3,2.7,524,191,0.07,0.072,114,89
111,28.3,18.2,2.7,530,192,0.062,0.058,119,81
106,28.8,18.2,2.8,532,197,0.094,0.08,134,78
98,28.6,18.2,2.8,536,200,0.079,0.079,137,74
105,28.6,18.2,2.8,523,212,0.08,0.079,145,77
110,29.8,18.3,2.9,546,207,0.099,0.076,146,80
108,28.7,18.3,2.9,559,208,0.098,0.076,143,86
103,29.3,18.2,2.9,552,205,0.106,0.082,141,83
98,28.9,18.2,2.9,549,202,0.096,0.081,140,81
100,29.2,18.3,2.9,553,208,0.104,0.08,142,78
105,29.3,18.1,2.9,542,205,0.118,0.082,144,77
102,29.4,18.2,2.9,548,207,0.105,0.08,147,77
100,28.3,17.9,2.9,528,207,0.085,0.082,142,80
102,29.8,17.9,3,531,202,0.112,0.072,139,78
114,29.4,18.1,3.1,556,198,0.093,0.057,128,69
121,28.5,18.1,3.1,556,194,0.156,0.087,124,69
135,29.4,17.9,3,531,202,0.136,0.088,125,65
130,29.2,18,3,548,200,0.135,0.084,124,66
134,29.4,18,3,538,190,0.118,0.083,123,63
136,29.2,18,3.1,548,194,0.073,0.063,125,64
137,29,17.9,3.1,537,190,0.109,0.083,123,68
139,29.9,17.8,3,541,198,0.111,0.09,128,75
133,29.6,17.5,3,529,197,0.096,0.089,124,74
135,30.3,17.6,3.2,548,196,0.109,0.072,115,67
134,30.1,17.3,3.2,536,196,0.109,0.086,113,73
132,31.3,17.1,3,523,220,0.091,0.086,121,77
123,30.2,16.7,3,535,224,0.099,0.079,130,86
119,31.6,16.8,2.9,518,239,0.08,0.084,138,94
100,31.4,17.1,3,536,239,0.089,0.077,139,96
96,32.6,16.9,3,522,238,0.077,0.082,140,98
98,31.4,16.8,3,532,239,0.067,0.059,142,98
94,32.6,16.6,2.9,521,240,0.068,0.085,144,97
93,32,16.7,3,535,238,0.079,0.079,136,94
98,33.1,16.8,3,537,234,0.073,0.079,133,87
99,32.2,17,3.1,537,235,0.072,0.079,138,97
96,32.9,16.6,2.9,523,234,0.058,0.082,142,96
94,33.9,16.5,2.9,527,236,0.063,0.081,146,94
92,33.3,16.9,3.2,554,218,0.088,0.073,144,108
99,32.8,16.8,2.9,533,216,0.064,0.079,145,112
97,32.9,16.7,2.9,527,203,0.06,0.079,138,104
104,32.6,16.8,2.9,522,204,0.058,0.08,134,104
109,32.7,16.7,2.9,516,211,0.057,0.081,131,102
103,32.5,16.8,2.9,518,205,0.059,0.071,133,97
107,32.1,16.9,2.8,515,201,0.059,0.08,131,102
108,32.2,16.7,2.9,513,199,0.055,0.08,136,104
107,32.4,16.6,2.8,512,192,0.051,0.081,133,103
106,32.7,16.5,2.8,511,187,0.051,0.08,132,102
106,33.1,16.3,2.8,514,191,0.053,0.08,134,109
108,33.3,16.3,2.8,516,189,0.056,0.081,128,104
112,33.6,16.2,2.9,517,186,0.058,0.08,124,102
105,33.8,16.1,3.1,527,185,0.081,0.078,125,101
109,33.9,16.1,3.3,534,177,0.094,0.078,126,99
105,33.9,16.2,3.3,537,164,0.1,0.077,121,102
105,33.8,16.3,3.3,539,148,0.102,0.075,124,98
104,34,16.2,3.3,540,145,0.102,0.075,118,97
110,35.9,16.2,3.3,542,149,0.101,0.075,128,103
103,35.3,16.1,3.4,546,172,0.109,0.074,126,104
101,36.5,16,3.3,541,191,0.105,0.073,129,113
105,37.2,16,3.5,553,195,0.117,0.074,129,111
102,35.6,16.1,3.5,548,198,0.111,0.073,125,102
107,35.8,16,3.3,546,204,0.097,0.076,136,110
105,36.2,16,3.1,539,221,0.05,0.05,136,108
109,35.2,16.1,3,528,217,0.057,0.071,128,118
110,35.4,16,3,527,219,0.055,0.073,133,121
103,35.2,16,2.9,522,216,0.046,0.073,131,120
109,35.2,16,2.8,521,208,0.044,0.073,129,128
109,35.3,16,2.8,523,201,0.041,0.072,136,132
104,35.4,16,2.8,529,198,0.04,0.072,129,125
116,35.7,15.9,2.8,527,174,0.041,0.072,132,124
109,36.3,15.7,2.9,524,166,0.045,0.073,126,118
114,36.3,15.6,2.8,513,163,0.042,0.073,129,112
116,36.1,15.6,2.9,511,150,0.042,0.073,133,116
114,36.3,15.4,2.8,504,146,0.04,0.072,127,117
117,36.6,15.2,2.7,491,144,0.02,0.043,128,113
120,37.3,15.1,2.5,485,150,0.026,0.07,139,97
114,37.6,15.1,2.5,481,158,0.019,0.069,144,99
121,37.7,15.1,2.5,485,170,0.024,0.069,146,105
114,37.8,15.2,2.5,489,191,0.029,0.071,148,95
119,38.3,15.1,2.6,490,205,0.031,0.069,146,100
119,38.5,15.2,2.6,490,199,0.03,0.069,151,99
119,38.4,15.4,2.6,494,209,0.026,0.058,146,100
125,38.7,15.4,2.6,496,204,0.048,0.07,154,105
118,39.4,15.2,2.6,495,208,0.044,0.069,154,104
119,40.4,14.9,2.5,494,209,0.05,0.068,148,106
118,40.5,14.9,2.6,495,204,0.05,0.07,153,97
123,40.3,15,2.5,495,194,0.039,0.069,155,99
123,39.9,15.2,2.7,499,181,0.044,0.068,148,101
125,39.6,15.3,2.7,503,182,0.053,0.065,150,100
133,39.9,15.3,2.7,506,174,0.068,0.063,154,97
140,39.8,15.3,2.7,511,169,0.085,0.072,156,96
135,39.7,15.4,2.8,518,182,0.092,0.072,159,96
140,39.4,15.4,2.9,525,192,0.099,0.071,150,103
137,39.8,15.4,2.9,523,187,0.096,0.07,148,104
135,39.5,15.5,2.9,531,188,0.109,0.072,148,102
134,38.6,15.9,2.9,535,189,0.123,0.073,146,106
127,37.4,16.3,2.9,534,180,0.104,0.069,144,101
129,37.8,16.3,2.9,534,183,0.118,0.072,141,105
124,37.6,16.4,2.9,541,194,0.114,0.07,138,99
118,37.6,16.6,3,544,204,0.116,0.07,136,108
118,37.7,16.7,2.9,548,205,0.138,0.072,121,110
114,37.4,16.7,3,560,214,0.184,0.076,119,104
108,37.7,16.7,3,558,213,0.174,0.076,117,111
111,38,16.7,3,558,201,0.147,0.071,111,105
101,38,16.7,2.9,555,192,0.103,0.048,117,99
103,38.3,16.7,3,556,196,0.129,0.069,114,96
102,38.7,16.7,2.9,557,194,0.133,0.066,118,95
110,38.4,16.8,3,558,192,0.136,0.068,124,97
114,38.1,16.7,2.9,567,211,0.187,0.073,129,97
110,39.4,16.8,3.1,567,214,0.177,0.072,130,96
112,38.4,16.9,3,571,213,0.149,0.069,131,100
125,38.7,16.8,2.9,560,219,0.127,0.07,127,99
122,39.2,16.8,3.1,578,225,0.138,0.067,133,95
121,38.8,16.8,3,585,233,0.128,0.07,138,99
124,39.2,16.8,3,584,237,0.146,0.072,146,96
122,38.5,16.7,3,579,240,0.139,0.072,142,104
126,39.6,16.7,3.1,572,253,0.116,0.068,147,102
126,39.3,17,2.8,596,244,0.115,0.064,158,103
124,39.1,16.8,2.7,575,256,0.096,0.066,157,102
117,39.4,16.9,2.9,578,263,0.11,0.066,152,94
127,40,17,2.9,609,258,0.11,0.065,156,106
126,39.2,17.3,3.1,647,257,0.107,0.066,159,109
128,39.3,17.1,3,617,268,0.105,0.066,162,116
122,39.1,17.1,3,612,271,0.102,0.066,167,109
133,40,17.3,3,647,269,0.108,0.064,162,110
139,38.2,17.5,3,638,264,0.111,0.068,160,118
137,39,17.6,3.1,655,272,0.104,0.063,153,122
134,39,17.7,3.1,682,270,0.107,0.064,163,114
148,38.2,17.7,3,669,269,0.115,0.064,161,122
141,38.4,17.7,3.1,663,288,0.114,0.068,158,123
152,38.7,17.8,3.3,687,282,0.133,0.07,157,116
148,38.5,17.7,3.2,659,275,0.121,0.07,159,128
139,38.7,18,3.2,700,271,0.131,0.068,157,124
146,38.5,18,3.1,678,281,0.123,0.067,160,125
144,38.6,17.9,3.3,680,282,0.146,0.072,170,122
145,38.3,18,3.4,679,286,0.161,0.074,178,128
154,38.2,18.2,3.6,691,290,0.167,0.074,184,137
143,37.8,18.1,3.4,669,302,0.157,0.077,186,125
153,38,18.3,3.6,694,295,0.154,0.073,185,122
146,34,18.6,3.3,606,274,0.14,0.083,182,136
133,34,18.7,3.3,619,270,0.141,0.081,183,136
120,33.5,18.7,3.4,608,268,0.139,0.083,178,129
124,33.4,18.7,3.4,606,264,0.141,0.083,182,135
119,33.7,18.7,3.6,601,264,0.168,0.086,184,138
131,33.2,18.8,3.6,605,255,0.185,0.085,179,134
129,31.8,18.7,3.2,552,257,0.114,0.088,181,132
128,32.9,18.9,3.3,573,255,0.127,0.084,177,134
134,32.5,19.1,3.2,589,248,0.108,0.079,173,129
130,32.6,19.2,3.3,596,247,0.106,0.08,167,133
125,31.9,19.1,3.1,562,252,0.089,0.083,175,133
121,31.7,19.2,3.1,560,257,0.097,0.084,168,132
125,31.8,19.5,3.1,593,249,0.099,0.08,173,111
134,31.2,19.4,3,562,239,0.073,0.079,166,102
138,31,19.4,2.8,540,234,0.06,0.083,166,103
140,30.4,19.5,3.1,548,228,0.085,0.083,160,110
136,29.9,19.7,2.9,527,232,0.068,0.084,157,105
131,30.2,19.7,2.9,537,224,0.062,0.081,152,107
130,31,19.6,3,546,221,0.068,0.078,150,102
131,29.9,19.6,2.8,527,227,0.075,0.082,156,97
124,29.8,19.8,2.7,515,221,0.04,0.077,150,100
116,29.8,19.8,2.7,506,225,0.034,0.078,152,104
129,29.9,19.8,2.7,522,220,0.037,0.079,144,102
132,30,20,3,527,216,0.064,0.081,148,102
129,29.6,19.9,2.8,523,228,0.043,0.079,146,113
130,29.6,20,3,518,235,0.063,0.078,145,115
131,29.5,20,2.9,525,228,0.052,0.081,146,116
127,29.6,20.2,2.9,523,227,0.048,0.083,144,114
130,29.2,20.2,2.8,521,225,0.041,0.082,143,111
126,29.4,20.3,2.8,517,224,0.051,0.083,141,113
127,28.9,20.2,2.7,520,222,0.047,0.084,143,114
130,27.6,20.3,2.7,510,224,0.028,0.084,132,113
130,27.7,20.5,2.6,494,227,0.033,0.085,140,113
136,28.3,20.4,2.8,522,223,0.033,0.085,133,104
128,27.8,20.3,2.8,519,222,0.023,0.082,138,106
135,27.9,20.4,2.6,506,214,0.015,0.083,136,104
123,27.1,20.4,2.6,504,197,0.011,0.079,130,91
111,27,20.4,2.6,489,193,0.006,0.081,124,89
116,26.7,20.7,2.7,527,186,0.017,0.085,113,85
124,26.1,20.8,2.5,476,190,0.002,0.081,108,76
117,26.5,20.7,2.5,488,183,0.005,0.073,110,80
114,26.8,20.8,2.6,487,194,0.009,0.079,123,80
117,27.6,20.8,2.7,510,190,0.01,0.079,113,78
117,27.1,20.7,2.7,504,185,0.004,0.079,110,89
117,26.9,20.9,2.7,496,186,0.01,0.083,110,87
118,27.1,20.9,2.7,517,185,0.022,0.088,112,86
117,27,20.9,2.8,518,188,0.03,0.086,109,80
117,27.2,21.1,2.7,512,190,0.019,0.084,108,86
132,27.1,21.2,3,529,195,0.063,0.093,119,86
146,26.3,21.3,2.9,529,199,0.047,0.091,118,89
147,26.1,21.3,2.7,502,208,0.011,0.086,135,89
144,26.4,21.3,2.8,517,201,0.021,0.091,138,92
147,26.7,21.2,2.8,509,212,0.031,0.091,139,91
148,26.2,21.3,2.7,506,209,0.017,0.086,128,89
144,26.1,21.4,2.8,504,208,0.039,0.092,137,96
144,26.5,21.5,2.6,491,211,0.014,0.094,146,86
152,27.8,21.5,2.9,520,214,0.028,0.098,141,91
149,27.7,21.4,2.7,506,214,0.02,0.1,145,100
153,28.4,21.3,2.9,529,214,0.02,0.095,155,103
147,27.8,21.3,2.8,508,220,0.015,0.096,154,98
148,27.3,21.6,2.7,504,227,0.012,0.097,155,102
149,27.2,21.6,2.7,520,229,0.004,0.054,163,103
152,27.6,21.8,2.7,520,222,0.012,0.084,166,107
152,26.5,21.8,2.8,514,225,0.009,0.081,164,109
155,26.8,21.7,2.8,513,224,0.021,0.092,159,106
158,25.3,21.7,2.7,506,223,0.011,0.086,163,103
161,25.5,21.9,2.9,498,227,0.006,0.085,163,102
161,26,21.6,2.8,520,212,0.007,0.081,161,98
152,25.3,21.7,2.7,489,219,0.002,0.08,156,101
154,26.3,21.7,2.7,518,219,0.008,0.079,156,94
151,25.8,21.6,2.9,501,213,0.005,0.077,145,91
156,25.5,21.7,2.7,517,206,0.01,0.083,147,93
141,25.3,21.7,2.6,490,203,0.002,0.071,146,113
138,24.7,21.8,2.6,492,195,0.002,0.07,138,105
133,24.8,21.9,2.6,473,197,0.002,0.07,135,98
137,26,21.8,2.7,502,201,0.004,0.075,138,105
130,26.3,21.6,2.8,530,190,0.006,0.075,142,100
126,26,21.6,2.6,493,191,0.002,0.07,138,100
123,26.1,21.7,2.5,497,197,0.001,0.07,135,103
127,26.1,21.7,2.5,494,206,0.002,0.07,139,108
128,26.4,21.5,2.6,501,196,0.001,0.071,139,99
125,26.4,21.5,2.6,489,191,0.001,0.069,140,102
125,26.7,21.6,2.6,488,197,0.002,0.07,145,100
130,27,21.6,2.5,512,204,0.001,0.077,143,104
135,27.3,21.3,2.6,502,205,0.002,0.076,140,88
120,28.3,21.1,2.8,540,210,0.01,0.08,146,94
104,27.4,21.1,2.7,512,220,0.002,0.052,142,96
96,28.2,21.1,2.7,527,224,0.006,0.077,142,89
103,27.7,21.2,2.7,529,227,0.006,0.076,150,98
102,28.2,21.2,3,548,220,0.02,0.083,152,95
108,28.8,21.1,2.9,536,217,0.016,0.083,152,91
104,28.3,21,2.9,552,231,0.022,0.077,154,100
106,29.6,21,2.9,535,233,0.007,0.053,163,101
113,28.8,20.9,3,547,240,0.015,0.081,164,104
112,30.1,20.9,2.7,532,241,0.008,0.049,164,109
111,29.3,20.9,2.9,549,247,0.01,0.082,174,111
111,29.7,20.9,2.8,522,238,0.008,0.046,167,110
124,30.3,21,2.8,555,233,0.016,0.084,162,116
137,30.1,20.9,2.9,541,237,0.008,0.039,164,127
143,30.3,20.9,2.9,553,228,0.038,0.085,166,129
140,30.5,20.9,2.9,575,238,0.034,0.087,160,130
147,30,20.9,3,602,245,0.038,0.084,163,137
139,30.6,20.9,3,584,247,0.027,0.084,164,140
135,29.8,20.7,3,578,240,0.037,0.086,161,131
140,30.1,20.7,2.9,571,237,0.047,0.088,157,133
133,29.6,20.6,2.8,532,242,0.036,0.08,152,134
136,30.8,20.8,3,577,238,0.055,0.084,158,134
129,31.2,20.8,3,605,236,0.04,0.083,148,129
138,31.1,20.9,3,616,247,0.048,0.081,157,134
147,31,20.5,2.8,526,254,0.02,0.081,168,132
151,31.2,20.7,2.9,585,254,0.036,0.081,160,130
155,30.8,20.5,2.8,551,249,0.036,0.086,158,127
158,29.9,20.2,2.7,529,248,0.026,0.079,154,128
153,31.1,20.2,2.8,540,247,0.039,0.082,155,125
156,31.1,19.9,2.7,520,249,0.014,0.079,151,127
158,31.4,20.1,2.6,569,253,0.017,0.073,159,134
157,31.9,20,2.9,568,259,0.022,0.071,160,131
161,31.6,20,2.8,579,258,0.033,0.076,166,133
160,30.7,19.7,2.7,528,263,0.009,0.038,162,138
162,31.5,19.9,2.8,551,260,0.048,0.084,167,135
157,31.1,19.9,2.8,547,266,0.061,0.086,162,131
146,30.1,19.7,2.7,530,270,0.033,0.082,158,129
124,30.8,19.8,2.6,528,268,0.016,0.042,167,130
125,30.8,19.8,2.6,545,275,0.039,0.084,168,127
133,31.1,19.8,2.8,543,269,0.045,0.083,176,130
130,30.6,19.6,2.7,540,267,0.046,0.082,176,126
132,30.9,19.7,2.8,541,263,0.041,0.079,186,126
135,30.1,19.6,2.7,515,263,0.021,0.06,175,125
134,30.2,19.6,2.7,520,256,0.015,0.057,173,129
129,30.4,19.7,2.8,530,253,0.034,0.082,170,123
126,30.2,19.6,2.8,522,244,0.029,0.083,171,119
126,30.2,19.8,2.9,543,245,0.042,0.084,165,120
130,29.9,19.6,2.8,515,231,0.025,0.085,164,120
131,29.9,19.4,2.9,509,217,0.035,0.087,161,121
139,30.4,19.5,2.9,513,211,0.066,0.09,161,118
134,30.3,19.5,2.8,523,217,0.074,0.091,165,123
130,30.5,19.6,2.9,533,218,0.04,0.071,157,116
132,30.7,19.6,2.6,514,211,0.014,0.053,156,121
129,30.6,19.4,2.7,516,209,0.027,0.079,147,117
126,31.1,19.4,2.6,504,205,0.028,0.083,148,115
128,31.4,19.5,2.8,532,205,0.038,0.082,149,120
127,31,19.3,2.8,517,208,0.05,0.087,155,115
131,30.9,19.3,2.8,522,210,0.054,0.086,144,113
129,31.1,19.4,2.9,524,201,0.058,0.087,149,114
127,31.3,19.3,2.9,518,202,0.057,0.084,150,124
144,31.3,19.4,2.9,535,201,0.055,0.083,155,121
165,31.5,19.4,2.9,534,207,0.082,0.084,158,114
157,33,19,3.1,548,228,0.081,0.084,168,124
164,32.7,18.9,3.1,537,226,0.075,0.087,171,133
157,33.1,18.6,3,524,224,0.075,0.09,166,135
157,32.9,18.8,3,536,223,0.065,0.089,163,132
156,33,18.8,3.1,528,224,0.073,0.088,163,128
155,33.1,18.7,2.9,521,216,0.067,0.087,162,134
154,33,18.7,3,522,209,0.065,0.087,154,136
150,32.5,18.3,3,521,204,0.071,0.089,131,142
137,33.3,18.5,2.9,510,198,0.042,0.086,114,142
140,33.4,18.5,3,518,205,0.052,0.081,118,136
142,34.6,18,2.8,500,195,0.026,0.086,118,143
145,34.3,17.9,2.9,512,190,0.034,0.083,125,141
145,36,17.6,2.8,492,203,0.019,0.084,130,139
146,35.4,17.6,3,505,207,0.028,0.084,124,133
152,37.1,17.6,2.9,497,209,0.019,0.084,132,137
150,35.7,17.8,2.9,515,202,0.027,0.081,136,139
151,36.3,17.3,2.8,494,208,0.007,0.084,134,143
152,37.7,17.3,2.9,493,209,0.009,0.082,131,133
152,36.4,17.7,3,513,211,0.026,0.079,142,120
152,36,17.6,2.8,498,217,0.009,0.082,161,113
164,36.6,17.4,2.9,495,223,0.007,0.083,166,124
154,37.1,17.3,2.9,497,216,0.008,0.083,166,128
158,37.4,17.4,2.8,500,214,0.009,0.083,159,117
157,37.3,17.6,2.9,509,221,0.028,0.082,159,119
159,36.8,17.7,3.1,510,213,0.024,0.084,160,123
159,36.5,17.7,2.9,500,206,0.014,0.084,164,128
150,36.9,17.5,2.9,499,204,0.01,0.083,163,120
156,37.3,17.4,2.9,497,205,0.009,0.082,164,120
157,37.6,17.5,3,502,205,0.017,0.081,161,125
157,37.5,17.5,3,506,207,0.021,0.081,161,127
155,37.7,17.4,3,510,194,0.023,0.08,165,114
131,37.8,17.3,3,504,183,0.012,0.081,164,107
138,38.1,17.1,2.9,502,174,0.01,0.081,166,105
136,38.2,17,2.9,496,165,0.007,0.081,168,104
130,38.3,17.2,3,499,160,0.011,0.079,169,117
128,38.5,16.9,3.1,493,163,0.005,0.08,172,119
129,39.3,16.7,2.9,496,181,0.007,0.08,165,115
129,39.8,16.6,3.1,502,203,0.017,0.081,167,115
142,39.7,16.5,3.1,500,209,0.015,0.08,173,121
139,39.8,16.4,2.9,490,218,0.006,0.077,178,123
132,39.9,16.4,2.9,488,214,0.005,0.077,183,115
136,39.9,16.4,2.9,487,216,0.005,0.077,184,118
138,39.9,16.5,3.1,492,229,0.011,0.078,181,133
154,40.2,16.5,3,500,236,0.018,0.08,184,135
163,40.6,16.4,2.7,476,150,0.005,0.072,181,123
155,40.5,16.4,2.6,473,152,0.004,0.071,181,127
154,40.6,16.4,2.7,473,160,0.003,0.072,178,135
160,40.6,16.4,2.7,471,152,0.003,0.071,164,141
158,41.4,16.2,2.5,463,156,0.001,0.064,165,139
147,42.3,16,2.5,463,188,0.001,0.064,160,140
155,42.7,15.9,2.5,462,201,0.001,0.062,157,148
150,43.5,15.7,2.4,459,211,0.002,0.06,160,147
148,44.1,15.6,2.4,457,209,0.002,0.058,160,149
145,44.6,15.4,2.4,455,202,0.002,0.053,160,150
154,45,15.4,2.3,454,205,0.002,0.051,165,152
149,45.2,15.3,2.4,456,209,0.001,0.051,164,149
159,45.5,15.3,2.4,455,218,0.002,0.052,165,150
157,45.7,15.2,2.3,456,211,0.002,0.055,170,147
150,45.7,15.2,2.4,456,210,0.001,0.057,173,141
130,45.5,15.3,2.2,456,217,0.002,0.051,178,138
127,45.5,15.3,2.3,459,220,0.002,0.058,172,137
132,45.2,15.5,2.2,462,210,0.002,0.062,165,138
134,45.3,15.6,2.4,465,213,0.006,0.064,168,133
140,46.2,15.5,2.4,479,209,0.041,0.069,171,131
143,46.4,15.3,2.4,474,214,0.019,0.065,179,129
147,46.7,15.2,2.3,471,225,0.012,0.065,177,137
137,46.7,15.1,2.3,470,221,0.011,0.064,175,135
142,45.8,15.5,2.4,477,223,0.032,0.068,177,132
138,42.9,16.1,2.4,475,222,0.019,0.064,180,130
142,44.3,15.9,2.2,467,226,0.014,0.066,173,136
151,42.5,16.6,2.4,486,211,0.041,0.063,176,132
145,42.2,17.4,2.8,527,238,0.069,0.066,174,135
134,41.9,17.3,2.5,523,244,0.067,0.07,171,126
121,42.4,17.4,2.8,532,232,0.065,0.068,170,137
119,42.2,17.6,2.9,549,232,0.07,0.066,173,138
119,41.8,17.6,3.1,553,242,0.071,0.067,171,130
120,42,17.6,2.8,544,243,0.07,0.069,174,126
126,41.6,17.7,2.9,561,253,0.072,0.07,174,129
123,41.4,17.6,2.7,558,257,0.07,0.071,178,138
120,41.5,17.6,2.9,558,261,0.079,0.073,181,136
118,41.3,17.8,2.9,569,261,0.074,0.071,180,133
111,40.6,17.9,2.7,588,258,0.083,0.074,173,131
109,40.7,17.9,3,576,263,0.084,0.076,176,123
108,40.1,17.9,2.7,596,265,0.107,0.077,183,129
128,39.9,18,2.8,595,275,0.076,0.076,184,118
123,40.8,18,2.9,606,267,0.074,0.076,184,123
