PM25h,HUM,TEMP,CO,CO2,PM10p,NO,NO2,PM10h,PM25p
120,39.5,11,1.4,497,263,0.035,0.042,147,101
116,39.7,11.2,1.5,509,265,0.031,0.043,141,106
120,37.9,11.3,1.4,487,258,0.025,0.045,141,96
113,38.5,11.4,1.5,509,244,0.031,0.043,150,100
110,37.7,11.2,1.4,480,235,0.022,0.044,137,90
106,38.2,11.4,1.5,494,234,0.041,0.045,140,85
106,37.3,11.7,1.5,495,237,0.038,0.045,131,95
102,37.5,11.6,1.5,495,239,0.041,0.046,133,102
102,37.3,10.9,1.4,463,246,0.021,0.043,127,90
107,38.9,10.9,1.5,480,236,0.03,0.047,127,88
99,39,11.4,1.7,503,234,0.056,0.048,126,88
93,37.1,11.8,1.5,491,237,0.04,0.047,129,91
96,37.2,11.8,1.6,495,235,0.038,0.046,129,97
97,37.7,11.8,1.5,487,229,0.032,0.045,131,80
82,37,11.6,1.5,484,226,0.025,0.044,134,84
72,37.3,11.4,1.5,479,233,0.023,0.045,126,78
65,36.3,11.2,1.4,463,233,0.014,0.043,127,76
64,37.4,11.2,1.4,469,226,0.015,0.042,128,83
67,37.5,11.5,1.5,483,219,0.029,0.045,126,81
65,37.6,11.3,1.5,470,216,0.028,0.048,124,69
74,37.6,11.9,1.6,502,215,0.033,0.045,125,74
83,36,11.7,1.3,466,212,0.019,0.045,126,80
85,37.4,11.7,1.4,483,200,0.025,0.047,120,75
93,37.1,11.4,1.4,467,193,0.016,0.042,116,70
107,38.8,11.1,1.5,475,199,0.021,0.044,118,69
122,37.5,11.1,1.4,468,222,0.021,0.042,113,71
143,38.2,11.2,1.4,468,237,0.022,0.043,108,65
162,32,11.9,1.3,454,190,0.007,0.04,75,66
157,32.6,12.3,1.4,482,200,0.017,0.044,101,66
146,31.5,12.7,1.5,485,207,0.02,0.045,93,67
147,31.4,12.7,1.5,480,205,0.016,0.043,92,67
125,30.8,12.5,1.4,461,197,0.01,0.041,91,60
127,30.1,12.3,1.3,467,195,0.014,0.04,89,52
123,31.5,12.1,1.5,471,189,0.035,0.045,77,57
127,30.8,12.7,1.6,492,192,0.047,0.047,87,65
116,30.1,12.7,1.5,478,181,0.024,0.045,84,62
123,31.1,12.5,1.5,472,184,0.018,0.043,84,57
122,30.3,12.8,1.6,481,187,0.02,0.045,73,46
119,30.4,12.6,1.5,472,177,0.022,0.046,74,54
111,30.8,13,1.5,486,155,0.027,0.044,81,93
95,29.9,13.1,1.5,487,158,0.024,0.044,75,110
94,28.9,12.9,1.5,472,152,0.02,0.046,76,107
81,31.1,13.1,1.7,501,152,0.039,0.047,83,99
89,28.1,13.3,1.5,476,158,0.029,0.046,80,109
83,30.1,13.1,1.6,492,158,0.044,0.049,74,106
79,29.3,13.3,1.8,509,163,0.048,0.049,87,113
76,29.1,13.2,1.8,497,159,0.071,0.052,82,101
77,29.4,12.9,1.7,481,159,0.035,0.048,81,106
75,29.8,13,1.9,512,156,0.083,0.052,78,110
76,29.3,12.8,1.7,475,158,0.054,0.051,86,110
73,29.8,13.2,1.8,512,166,0.089,0.056,91,103
78,29,13.2,1.6,490,179,0.04,0.046,83,75
91,29.5,13.6,1.8,533,178,0.043,0.047,93,59
95,27.8,13.4,1.6,471,192,0.02,0.046,89,68
103,29,13.4,1.6,497,190,0.024,0.048,83,78
97,28.6,13.7,1.8,524,189,0.034,0.046,91,73
95,28.7,13.6,1.8,516,195,0.031,0.045,93,73
103,29.1,13.1,1.6,489,197,0.019,0.047,93,70
98,29,13.5,1.8,512,198,0.025,0.045,89,77
108,28.5,13.4,1.8,503,202,0.022,0.043,97,70
98,28.6,13.5,1.7,517,204,0.025,0.044,99,72
103,29.7,13.6,1.9,533,206,0.044,0.046,97,77
104,27.9,13.8,1.9,521,213,0.043,0.047,92,82
99,28.5,13.5,1.7,508,212,0.029,0.048,106,88
116,27.8,13.5,1.8,520,211,0.031,0.047,116,101
115,29.2,13.4,1.9,530,194,0.052,0.05,117,96
109,28.1,13.6,1.9,522,203,0.037,0.048,124,89
115,27.2,13.3,1.7,502,206,0.025,0.045,125,93
126,29.3,13,1.7,504,209,0.025,0.045,131,96
119,29,13.5,1.8,546,209,0.037,0.046,129,93
121,28,13.5,1.9,532,213,0.041,0.05,137,94
115,28,13.3,1.8,535,217,0.031,0.049,128,95
129,28,13.4,1.9,544,214,0.028,0.045,128,92
122,28,13,1.7,511,216,0.018,0.04,131,96
